Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,347,0,78,89.63015822189882,25.98958899761783,730.0197770018713,158.5792507204611,5.893751714866173,0.0,78,110,130,130,140,160,190,270,730,730,730
,Aggregated,347,0,78,89.63015822189882,25.98958899761783,730.0197770018713,158.5792507204611,5.893751714866173,0.0,78,110,130,130,140,160,190,270,730,730,730
