Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790095607,8,,Aggregated,5.900000,0.000000,59,98,120,120,130,140,150,170,170,170,170,92,0,77,92.20944520632696,26.978464993590023,730.0197770018713,158.65217391304347
1790095608,8,POST,/predict,6.000000,0.000000,65,100,120,120,130,140,150,170,170,170,170,99,0,77,92.10441767657294,26.978464993590023,730.0197770018713,158.64646464646464
1790095608,8,,Aggregated,6.000000,0.000000,65,100,120,120,130,140,150,170,170,170,170,99,0,77,92.10441767657294,26.978464993590023,730.0197770018713,158.64646464646464
1790095609,8,POST,/predict,6.000000,0.000000,58,93,120,120,140,150,150,170,170,170,170,103,0,66,91.24611190259422,26.978464993590023,730.0197770018713,158.66990291262135
1790095609,8,,Aggregated,6.000000,0.000000,58,93,120,120,140,150,150,170,170,170,170,103,0,66,91.24611190259422,26.978464993590023,730.0197770018713,158.66990291262135
1790095610,8,POST,/predict,6.100000,0.000000,66,100,120,130,140,140,150,170,170,170,170,111,0,77,91.29232489152577,26.978464993590023,730.0197770018713,158.6216216216216
1790095610,8,,Aggregated,6.100000,0.000000,66,100,120,130,140,140,150,170,170,170,170,111,0,77,91.29232489152577,26.978464993590023,730.0197770018713,158.6216216216216
1790095611,8,POST,/predict,6.400000,0.000000,65,100,120,130,140,150,150,170,170,170,170,116,0,66,90.18940480143948,26.978464993590023,730.0197770018713,158.61206896551724
1790095611,8,,Aggregated,6.400000,0.000000,65,100,120,130,140,150,150,170,170,170,170,116,0,66,90.18940480143948,26.978464993590023,730.0197770018713,158.61206896551724
1790095612,8,POST,/predict,6.400000,0.000000,66,100,120,130,140,150,150,170,170,170,170,123,0,66,89.17306712154219,26.978464993590023,730.0197770018713,158.64227642276424
1790095612,8,,Aggregated,6.400000,0.000000,66,100,120,130,140,150,150,170,170,170,170,123,0,66,89.17306712154219,26.978464993590023,730.0197770018713,158.64227642276424
1790095613,8,POST,/predict,6.300000,0.000000,58,93,120,130,140,150,150,170,170,170,170,129,0,65,88.56529055775573,26.978464993590023,730.0197770018713,158.6046511627907
1790095613,8,,Aggregated,6.300000,0.000000,58,93,120,130,140,150,150,170,170,170,170,129,0,65,88.56529055775573,26.978464993590023,730.0197770018713,158.6046511627907
1790095614,8,POST,/predict,6.200000,0.000000,55,84,120,130,140,140,150,150,150,150,150,137,0,61,87.67016021865989,26.978464993590023,730.0197770018713,158.5985401459854
1790095614,8,,Aggregated,6.200000,0.000000,55,84,120,130,140,140,150,150,150,150,150,137,0,61,87.67016021865989,26.978464993590023,730.0197770018713,158.5985401459854
1790095615,8,POST,/predict,6.500000,0.000000,63,100,130,130,140,150,190,190,190,190,190,142,0,66,90.34541528128845,26.978464993590023,730.0197770018713,158.59859154929578
1790095615,8,,Aggregated,6.500000,0.000000,63,100,130,130,140,150,190,190,190,190,190,142,0,66,90.34541528128845,26.978464993590023,730.0197770018713,158.59859154929578
1790095616,8,POST,/predict,6.500000,0.000000,78,120,130,140,150,170,190,190,190,190,190,149,0,77,91.5076873419418,26.978464993590023,730.0197770018713,158.58389261744966
1790095616,8,,Aggregated,6.500000,0.000000,78,120,130,140,150,170,190,190,190,190,190,149,0,77,91.5076873419418,26.978464993590023,730.0197770018713,158.58389261744966
1790095617,8,POST,/predict,6.300000,0.000000,61,110,130,130,150,170,190,190,190,190,190,153,0,66,90.84540960749686,26.978464993590023,730.0197770018713,158.58169934640523
1790095617,8,,Aggregated,6.300000,0.000000,61,110,130,130,150,170,190,190,190,190,190,153,0,66,90.84540960749686,26.978464993590023,730.0197770018713,158.58169934640523
