Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,364,0,54,66.24559821678274,17.012295000313316,572.6664119938505,160.4120879120879,6.157426609884356,0.0,54,84,97,100,120,120,140,160,570,570,570
,Aggregated,364,0,54,66.24559821678274,17.012295000313316,572.6664119938505,160.4120879120879,6.157426609884356,0.0,54,84,97,100,120,120,140,160,570,570,570
